"Country","ID","OfficialName","OfficialSurname","GoalScored","Role","TotalAssists","TotalAttempts","PassesCompleted","TacklesWon","TacklesLost"
"England",250010259,"Kyle","Walker",0,"Defender",0,0,318,0,4
"England",250010260,"Jordan","Henderson",0,"Midfield",0,1,99,1,0
"England",250000919,"Kieran","Trippier",0,"Defender",1,1,128,3,2
"England",250014517,"Conor","Coady",0,"Defender",NA,NA,NA,NA,NA
"England",250024795,"Raheem","Sterling",1,"Forward",1,14,164,0,0
"England",250042329,"Jack","Grealish",0,"Midfield",2,2,63,1,1
"England",250042705,"Luke","Shaw",0,"Defender",3,3,288,5,4
"England",250016833,"Harry","Kane",0,"Forward",0,15,111,2,1
"England",250064233,"John","Stones",0,"Defender",0,5,452,1,2
"England",250075007,"Harry","Maguire",0,"Defender",0,8,341,4,2
"England",250076240,"Mason","Mount",0,"Midfield",1,7,153,1,1
"England",250101534,"Phil","Foden",0,"Midfield",0,2,64,0,0
"England",250102216,"Jadon","Sancho",0,"Midfield",0,0,43,0,0
"England",250106939,"Bukayo","Saka",0,"Midfield",1,0,71,1,0
"England",250110362,"Reece","James",0,"Defender",0,1,84,0,0
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward",0,0,2,0,0
"England",250078763,"Ben","Chilwell",0,"Defender",NA,NA,NA,NA,NA
"England",250083732,"Declan","Rice",0,"Midfield",0,1,301,7,3
"England",250088246,"Marcus","Rashford",0,"Forward",0,0,31,0,0
"England",250128377,"Jude","Bellingham",0,"Midfield",0,0,20,1,1
"England",250133856,"Tyrone","Mings",0,"Defender",0,0,119,1,3
"England",250143242,"Kalvin","Phillips",0,"Midfield",1,4,302,9,4
"England",250156002,"Ben","White",0,"Defender",NA,NA,NA,NA,NA
"England",250000919,"Kieran","Trippier",0,"Defender",1,1,128,3,2
"England",250010259,"Kyle","Walker",0,"Defender",0,0,318,0,4
"England",250010260,"Jordan","Henderson",0,"Midfield",0,1,99,1,0
"England",250014517,"Conor","Coady",0,"Defender",NA,NA,NA,NA,NA
"England",250016833,"Harry","Kane",0,"Forward",0,15,111,2,1
"England",250024795,"Raheem","Sterling",0,"Forward",1,14,164,0,0
"England",250042705,"Luke","Shaw",0,"Defender",3,3,288,5,4
"England",250064233,"John","Stones",0,"Defender",0,5,452,1,2
"England",250042329,"Jack","Grealish",0,"Midfield",2,2,63,1,1
"England",250075007,"Harry","Maguire",0,"Defender",0,8,341,4,2
"England",250076240,"Mason","Mount",0,"Midfield",1,7,153,1,1
"England",250078763,"Ben","Chilwell",0,"Defender",NA,NA,NA,NA,NA
"England",250083732,"Declan","Rice",0,"Midfield",0,1,301,7,3
"England",250088246,"Marcus","Rashford",0,"Forward",0,0,31,0,0
"England",250101534,"Phil","Foden",0,"Midfield",0,2,64,0,0
"England",250102216,"Jadon","Sancho",0,"Midfield",0,0,43,0,0
"England",250106939,"Bukayo","Saka",0,"Midfield",1,0,71,1,0
"England",250110362,"Reece","James",0,"Defender",0,1,84,0,0
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward",0,0,2,0,0
"England",250128377,"Jude","Bellingham",0,"Midfield",0,0,20,1,1
"England",250133856,"Tyrone","Mings",0,"Defender",0,0,119,1,3
"England",250143242,"Kalvin","Phillips",0,"Midfield",1,4,302,9,4
"England",250156002,"Ben","White",0,"Defender",NA,NA,NA,NA,NA
"England",250128377,"Jude","Bellingham",0,"Midfield",0,0,20,1,1
"England",250133856,"Tyrone","Mings",0,"Defender",0,0,119,1,3
"England",250143242,"Kalvin","Phillips",0,"Midfield",1,4,302,9,4
"England",250156002,"Ben","White",0,"Defender",NA,NA,NA,NA,NA
"England",250101534,"Phil","Foden",0,"Midfield",0,2,64,0,0
"England",250102216,"Jadon","Sancho",0,"Forward",0,0,43,0,0
"England",250106939,"Bukayo","Saka",0,"Midfield",1,0,71,1,0
"England",250110362,"Reece","James",0,"Defender",0,1,84,0,0
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward",0,0,2,0,0
"England",250083732,"Declan","Rice",0,"Midfield",0,1,301,7,3
"England",250088246,"Marcus","Rashford",0,"Forward",0,0,31,0,0
"England",250075007,"Harry","Maguire",1,"Defender",0,8,341,4,2
"England",250076240,"Mason","Mount",0,"Midfield",1,7,153,1,1
"England",250078763,"Ben","Chilwell",0,"Defender",NA,NA,NA,NA,NA
"England",250042329,"Jack","Grealish",0,"Midfield",2,2,63,1,1
"England",250042705,"Luke","Shaw",0,"Defender",3,3,288,5,4
"England",250064233,"John","Stones",0,"Defender",0,5,452,1,2
"England",250024795,"Raheem","Sterling",3,"Forward",1,14,164,0,0
"England",250014517,"Conor","Coady",0,"Defender",NA,NA,NA,NA,NA
"England",250016833,"Harry","Kane",3,"Forward",0,15,111,2,1
"England",250010259,"Kyle","Walker",0,"Defender",0,0,318,0,4
"England",250010260,"Jordan","Henderson",1,"Midfield",0,1,99,1,0
"England",250000919,"Kieran","Trippier",0,"Defender",1,1,128,3,2
"England",250000919,"Kieran","Trippier",0,"Defender",1,1,128,3,2
"England",250010259,"Kyle","Walker",0,"Defender",0,0,318,0,4
"England",250010260,"Jordan","Henderson",0,"Midfield",0,1,99,1,0
"England",250014517,"Conor","Coady",0,"Defender",NA,NA,NA,NA,NA
"England",250016833,"Harry","Kane",0,"Forward",0,15,111,2,1
"England",250024795,"Raheem","Sterling",2,"Forward",1,14,164,0,0
"England",250042329,"Jack","Grealish",0,"Midfield",2,2,63,1,1
"England",250042705,"Luke","Shaw",0,"Defender",3,3,288,5,4
"England",250088246,"Marcus","Rashford",0,"Forward",0,0,31,0,0
"England",250101534,"Phil","Foden",0,"Midfield",0,2,64,0,0
"England",250102216,"Jadon","Sancho",0,"Midfield",0,0,43,0,0
"England",250106939,"Bukayo","Saka",0,"Midfield",1,0,71,1,0
"England",250110362,"Reece","James",0,"Defender",0,1,84,0,0
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward",0,0,2,0,0
"England",250075007,"Harry","Maguire",0,"Defender",0,8,341,4,2
"England",250076240,"Mason","Mount",0,"Midfield",1,7,153,1,1
"England",250078763,"Ben","Chilwell",0,"Defender",NA,NA,NA,NA,NA
"England",250083732,"Declan","Rice",0,"Midfield",0,1,301,7,3
"England",250128377,"Jude","Bellingham",0,"Midfield",0,0,20,1,1
"England",250133856,"Tyrone","Mings",0,"Defender",0,0,119,1,3
"England",250143242,"Kalvin","Phillips",0,"Midfield",1,4,302,9,4
"England",250156002,"Ben","White",0,"Defender",NA,NA,NA,NA,NA
"England",250064233,"John","Stones",0,"Defender",0,5,452,1,2
"England",250000919,"Kieran","Trippier",0,"Defender",1,1,128,3,2
"England",250010259,"Kyle","Walker",0,"Defender",0,0,318,0,4
"England",250010260,"Jordan","Henderson",0,"Midfield",0,1,99,1,0
"England",250024795,"Raheem","Sterling",1,"Forward",1,14,164,0,0
"England",250042329,"Jack","Grealish",0,"Midfield",2,2,63,1,1
"England",250042705,"Luke","Shaw",0,"Defender",3,3,288,5,4
"England",250064233,"John","Stones",0,"Defender",0,5,452,1,2
"England",250014517,"Conor","Coady",0,"Defender",NA,NA,NA,NA,NA
"England",250016833,"Harry","Kane",0,"Forward",0,15,111,2,1
"England",250075007,"Harry","Maguire",0,"Defender",0,8,341,4,2
"England",250076240,"Mason","Mount",0,"Midfield",1,7,153,1,1
"England",250078763,"Ben","Chilwell",0,"Defender",NA,NA,NA,NA,NA
"England",250083732,"Declan","Rice",0,"Midfield",0,1,301,7,3
"England",250088246,"Marcus","Rashford",0,"Forward",0,0,31,0,0
"England",250101534,"Phil","Foden",0,"Midfield",0,2,64,0,0
"England",250102216,"Jadon","Sancho",0,"Midfield",0,0,43,0,0
"England",250106939,"Bukayo","Saka",0,"Midfield",1,0,71,1,0
"England",250110362,"Reece","James",0,"Defender",0,1,84,0,0
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward",0,0,2,0,0
"England",250128377,"Jude","Bellingham",0,"Midfield",0,0,20,1,1
"England",250133856,"Tyrone","Mings",0,"Defender",0,0,119,1,3
"England",250143242,"Kalvin","Phillips",0,"Midfield",1,4,302,9,4
"England",250156002,"Ben","White",0,"Defender",NA,NA,NA,NA,NA
"England",250000919,"Kieran","Trippier",0,"Defender",1,1,128,3,2
"England",250010259,"Kyle","Walker",0,"Defender",0,0,318,0,4
"England",250010260,"Jordan","Henderson",1,"Midfield",0,1,99,1,0
"England",250014517,"Conor","Coady",0,"Defender",NA,NA,NA,NA,NA
"England",250016833,"Harry","Kane",4,"Forward",0,15,111,2,1
"England",250024795,"Raheem","Sterling",3,"Forward",1,14,164,0,0
"England",250042329,"Jack","Grealish",0,"Midfield",2,2,63,1,1
"England",250042705,"Luke","Shaw",0,"Defender",3,3,288,5,4
"England",250064233,"John","Stones",0,"Defender",0,5,452,1,2
"England",250075007,"Harry","Maguire",1,"Defender",0,8,341,4,2
"England",250076240,"Mason","Mount",0,"Midfield",1,7,153,1,1
"England",250078763,"Ben","Chilwell",0,"Defender",NA,NA,NA,NA,NA
"England",250083732,"Declan","Rice",0,"Midfield",0,1,301,7,3
"England",250088246,"Marcus","Rashford",0,"Forward",0,0,31,0,0
"England",250106939,"Bukayo","Saka",0,"Midfield",1,0,71,1,0
"England",250110362,"Reece","James",0,"Defender",0,1,84,0,0
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward",0,0,2,0,0
"England",250101534,"Phil","Foden",0,"Midfield",0,2,64,0,0
"England",250102216,"Jadon","Sancho",0,"Forward",0,0,43,0,0
"England",250128377,"Jude","Bellingham",0,"Midfield",0,0,20,1,1
"England",250133856,"Tyrone","Mings",0,"Defender",0,0,119,1,3
"England",250143242,"Kalvin","Phillips",0,"Midfield",1,4,302,9,4
"England",250156002,"Ben","White",0,"Defender",NA,NA,NA,NA,NA
"England",250000919,"Kieran","Trippier",0,"Defender",1,1,128,3,2
"England",250010259,"Kyle","Walker",0,"Defender",0,0,318,0,4
"England",250010260,"Jordan","Henderson",0,"Midfield",0,1,99,1,0
"England",250014517,"Conor","Coady",0,"Defender",NA,NA,NA,NA,NA
"England",250016833,"Harry","Kane",1,"Forward",0,15,111,2,1
"England",250024795,"Raheem","Sterling",3,"Forward",1,14,164,0,0
"England",250042705,"Luke","Shaw",0,"Defender",3,3,288,5,4
"England",250042329,"Jack","Grealish",0,"Midfield",2,2,63,1,1
"England",250064233,"John","Stones",0,"Defender",0,5,452,1,2
"England",250075007,"Harry","Maguire",0,"Defender",0,8,341,4,2
"England",250076240,"Mason","Mount",0,"Midfield",1,7,153,1,1
"England",250078763,"Ben","Chilwell",0,"Defender",NA,NA,NA,NA,NA
"England",250083732,"Declan","Rice",0,"Midfield",0,1,301,7,3
"England",250101534,"Phil","Foden",0,"Midfield",0,2,64,0,0
"England",250102216,"Jadon","Sancho",0,"Midfield",0,0,43,0,0
"England",250106939,"Bukayo","Saka",0,"Midfield",1,0,71,1,0
"England",250110362,"Reece","James",0,"Defender",0,1,84,0,0
"England",250111030,"Dominic","Calvert-Lewin",0,"Forward",0,0,2,0,0
"England",250088246,"Marcus","Rashford",0,"Forward",0,0,31,0,0
"England",250128377,"Jude","Bellingham",0,"Midfield",0,0,20,1,1
"England",250133856,"Tyrone","Mings",0,"Defender",0,0,119,1,3
"England",250143242,"Kalvin","Phillips",0,"Midfield",1,4,302,9,4
"England",250156002,"Ben","White",0,"Defender",NA,NA,NA,NA,NA
